experement_id,Model name,Max val_accuracy:loss,VOCAB_SIZE,WIN_SIZE,WIN_HOP,BestE,LastE
21,model_21_vs_5000_ws_6000_hop_50,17.149862459538028,5000,6000,50,13,18
99,model_99_vs_15000_ws_7000_hop_100,13.730146615802939,15000,7000,100,18,20
64,model_64_vs_10000_ws_7000_hop_100,11.186681198421441,10000,7000,100,13,14
60,model_60_vs_10000_ws_6000_hop_250,11.00247931525465,10000,6000,250,14,17
57,model_57_vs_10000_ws_6000_hop_100,10.949765853306515,10000,6000,100,17,17
28,model_28_vs_5000_ws_7000_hop_50,10.036614943165459,5000,7000,50,8,10
29,model_29_vs_5000_ws_7000_hop_100,9.633221109063713,5000,7000,100,13,18
7,model_7_vs_5000_ws_4000_hop_50,9.549112181567663,5000,4000,50,9,14
94,model_94_vs_15000_ws_6000_hop_200,8.57026855385507,15000,6000,200,13,18
93,model_93_vs_15000_ws_6000_hop_150,8.299765313578508,15000,6000,150,12,14
92,model_92_vs_15000_ws_6000_hop_100,8.063178247966398,15000,6000,100,17,20
84,model_84_vs_15000_ws_5000_hop_50,7.931616327249741,15000,5000,50,8,10
63,model_63_vs_10000_ws_7000_hop_50,7.877585988563904,10000,7000,50,5,10
49,model_49_vs_10000_ws_5000_hop_50,7.661433453640294,10000,5000,50,7,7
30,model_30_vs_5000_ws_7000_hop_150,7.607970853871123,5000,7000,150,8,9
51,model_51_vs_10000_ws_5000_hop_150,7.3506484820335265,10000,5000,150,9,14
50,model_50_vs_10000_ws_5000_hop_100,7.268479935879212,10000,5000,100,11,11
56,model_56_vs_10000_ws_6000_hop_50,7.250006221052312,10000,6000,50,6,6
78,model_78_vs_15000_ws_4000_hop_100,7.154242048960633,15000,4000,100,6,11
85,model_85_vs_15000_ws_5000_hop_100,7.1527205121736115,15000,5000,100,13,16
35,model_35_vs_10000_ws_3000_hop_50,7.137972731609367,10000,3000,50,9,10
59,model_59_vs_10000_ws_6000_hop_200,7.001883694081853,10000,6000,200,9,12
